Dataset,Model,Accuracy,Macro-F1,AUPRC,FAR,MCC,Coverage,APSS,SHP,Cov-Gap,Time(s),Rule-Fidelity,Rule-Complexity,Expl-Stability
CIC-IDS-2017,fc_gnn,0.945,0.0647814910025707,0.23866812669930393,0.0,0.0,0.905625,1.504375,0.763125,0.13750000000000007,14.554007053375244,0.2375,0.00375,0.316
CIC-IDS-2017,cfgnn,0.950625,0.1502798825437894,0.34542443213306023,0.0,0.3385990163820686,0.91625,0.918125,0.91625,0.0,3.9185359477996826,,,
CIC-IDS-2017,daps,0.94875,0.1501178657237409,0.23101901949754294,0.0013227513227513227,0.2855949152897378,0.91875,0.951875,0.91875,0.0,4.607174873352051,,,
CIC-IDS-2017,rrgnn,0.95,0.14293614881850175,0.3543701577402748,0.0,0.3198145121452514,0.90875,1.195,0.890625,0.09999999999999998,4.021890878677368,,,
CIC-IDS-2017,snaps,0.94875,0.1501178657237409,0.23101901949754294,0.0013227513227513227,0.2855949152897378,0.92,0.94875,0.92,0.0,5.250155925750732,,,
CIC-IDS-2017,flgnn,0.865,0.31363625417348956,0.5454526839398233,0.1164021164021164,0.421268533611152,,,,,15.957115888595581,,,
CIC-IDS-2017,fgat,0.735625,0.2783449245270719,0.5603989675394091,0.2552910052910053,0.30277713853060373,,,,,25.473522901535034,,,
CIC-IDS-2017,gcn,0.94875,0.1501178657237409,0.23101901949754294,0.0013227513227513227,0.2855949152897378,,,,,4.116703987121582,,,
CIC-IDS-2017,sage,0.950625,0.1502798825437894,0.34542443213306023,0.0,0.3385990163820686,,,,,3.4175329208374023,,,
UNSW-NB15,fc_gnn,0.93,0.8310562840312695,0.9618496997253227,0.0,0.9011819235714035,0.9225,0.965625,0.900625,0.07647058823529407,15.692324876785278,0.500625,0.0,0.680316742081448
UNSW-NB15,cfgnn,0.954375,0.9107192504606489,0.9998763186822611,0.0,0.9361127481609718,0.9025,0.9025,0.9025,0.0,4.091435194015503,,,
UNSW-NB15,daps,0.75375,0.5902650278646514,0.8005777337069949,0.004790419161676647,0.6389518143900718,0.77125,1.23875,0.5325,0.0,4.725751876831055,,,
UNSW-NB15,rrgnn,0.953125,0.906203540802424,0.9998763186822611,0.0,0.9343963695302319,0.925625,1.2625,0.8825,0.05294117647058816,4.136002063751221,,,
UNSW-NB15,snaps,0.75375,0.5902650278646514,0.8005777337069949,0.004790419161676647,0.6389518143900718,0.83625,1.343125,0.50875,0.0,5.1791558265686035,,,
UNSW-NB15,flgnn,1.0,1.0,1.0,0.0,1.0,,,,,17.51434898376465,,,
UNSW-NB15,fgat,1.0,1.0,1.0,0.0,1.0,,,,,26.938749313354492,,,
UNSW-NB15,gcn,0.75375,0.5902650278646514,0.8005777337069949,0.004790419161676647,0.6389518143900718,,,,,4.264549732208252,,,
UNSW-NB15,sage,0.954375,0.9107192504606489,0.9998763186822611,0.0,0.9361127481609718,,,,,3.5597479343414307,,,
NF-BoT-IoT,fc_gnn,0.966875,0.9584769106212203,0.9956364224640663,0.20114942528735633,0.9566825539904424,0.893125,0.90625,0.893125,0.038461538461538436,14.512280702590942,0.0125,0.000625,0.563265306122449
NF-BoT-IoT,cfgnn,0.985625,0.9858821636922308,0.9984494324057154,0.022988505747126436,0.9810774002324013,0.910625,0.913125,0.910625,0.0,3.515017032623291,,,
NF-BoT-IoT,daps,0.769375,0.7951711378331566,0.8837097143032935,0.11494252873563218,0.6959311946157961,0.778125,1.11875,0.6275,0.0,4.378436088562012,,,
NF-BoT-IoT,rrgnn,0.98625,0.9868009804179187,0.998499235785749,0.017241379310344827,0.9818981549910821,0.91625,0.919375,0.91625,0.05384615384615388,3.668463945388794,,,
NF-BoT-IoT,snaps,0.769375,0.7951711378331566,0.8837097143032935,0.11494252873563218,0.6959311946157961,0.85875,1.20875,0.665625,0.0,4.938935995101929,,,
NF-BoT-IoT,flgnn,0.986875,0.9873440106193166,0.998499933045322,0.011494252873563218,0.9827071435380301,,,,,16.821730136871338,,,
NF-BoT-IoT,fgat,0.9825,0.9830805313233352,0.997636748973464,0.011494252873563218,0.9769704488672044,,,,,24.693644762039185,,,
NF-BoT-IoT,gcn,0.769375,0.7951711378331566,0.8837097143032935,0.11494252873563218,0.6959311946157961,,,,,3.930999755859375,,,
NF-BoT-IoT,sage,0.985625,0.9858821636922308,0.9984494324057154,0.022988505747126436,0.9810774002324013,,,,,3.2250170707702637,,,
ISCX-Botnet,fc_gnn,0.985,0.9792387481407991,0.9999100654723361,0.0,0.9810115502897152,0.8991666666666667,0.9108333333333334,0.8925,0.08181818181818179,11.165639877319336,0.095,0.0,0.584010152284264
